service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
全日,1,1,1,1,1,1,1,20211214,20221213
平日,1,1,1,1,1,0,0,20211214,20221213
土日祝のみ,0,0,0,0,0,1,1,20211214,20221213
10～4月運行,1,1,1,1,1,0,0,20211214,20221213
5～9月運行,1,1,1,1,1,0,0,20211214,20221213
平日（夏）,1,1,1,1,1,0,0,20211214,20221213
平日（冬）,1,1,1,1,1,0,0,20211214,20221213
4～11月,1,1,1,1,1,0,0,20211214,20221213
12～3月,1,1,1,1,1,0,0,20211214,20221213
平日土,1,1,1,1,1,1,0,20211214,20221213
日祝のみ,0,0,0,0,0,0,1,20211214,20221213
休校日（平日）,1,1,1,1,1,0,0,20211214,20221213
休校日（夏）,1,1,1,1,1,0,0,20211214,20221213
休校日（冬）,1,1,1,1,1,0,0,20211214,20221213
休校日（平日土）,1,1,1,1,1,1,0,20211214,20221213
