fare_id,route_id,origin_id,destination_id
100,27,,
100,28,,
1000,11,243_01,287_01
1000,11,243_01,288_01
1000,11,244_01,287_01
1000,11,244_01,288_01
1000,11,245_01,289_01
1000,11,245_01,290_01
1000,11,245_01,291_01
1000,11,246_01,289_01
1000,11,246_01,290_01
1000,11,246_01,291_01
1000,12,287_02,243_02
1000,12,287_02,244_02
1000,12,288_02,243_02
1000,12,288_02,244_02
1000,12,289_02,245_02
1000,12,289_02,246_02
1000,12,290_02,245_02
1000,12,290_02,246_02
1000,12,291_01,245_02
1000,12,291_01,246_02
1000,13,10_02,334_01
1000,13,10_02,335_01
1000,13,11_02,334_01
1000,13,11_02,335_01
1000,13,12_02,330_01
1000,13,12_02,331_01
1000,13,12_02,332_01
1000,13,9_02,334_01
1000,13,9_02,335_01
1000,14,330_02,12_01
1000,14,331_02,12_01
1000,14,332_02,12_01
1000,14,334_02,10_01
1000,14,334_02,11_01
1000,14,334_02,9_03
1000,14,335_02,10_01
1000,14,335_02,11_01
1000,14,335_02,9_03
1000,23,363_01,94_03
1000,23,365_01,93_02
1000,23,366_01,93_02
1000,23,367_01,93_02
1000,23,368_01,91_02
1000,23,369_01,90_02
1000,24,90_01,369_02
1000,24,91_01,368_02
1000,24,93_01,365_02
1000,24,93_01,366_02
1000,24,93_01,367_02
1000,24,94_04,363_02
1000,32,357_02,310_01
1000,32,358_02,310_01
1000,32,363_02,178_01
1000,32,363_02,179_01
1000,32,364_02,180_01
1000,32,364_02,181_01
1000,32,364_02,182_01
1000,32,364_02,183_01
1000,32,364_02,184_01
1000,32,364_02,185_01
1000,32,364_02,338_01
1000,41,316_02,356_01
1000,42,356_02,316_01
1000,49,131_02,523_01
1000,49,132_02,523_01
1000,49,472_01,524_01
1000,49,472_01,525_01
1000,49,472_01,526_01
1000,50,523_02,131_01
1000,50,523_02,132_01
1000,50,524_02,472_02
1000,50,525_02,472_02
1000,50,526_02,472_02
1000,50,532_01,110_01
1000,50,532_01,129_01
1000,50,532_01,471_02
1000,50,532_01,499_01
1000,50,532_01,500_02
1000,50,532_01,501_02
1000,50,532_01,502_02
1000,50,532_01,503_02
1000,50,532_01,504_02
1000,50,533_01,110_01
1000,50,533_01,129_01
1000,50,533_01,471_02
1000,50,533_01,499_01
1000,50,533_01,500_02
1000,50,533_01,501_02
1000,50,533_01,502_02
1000,50,533_01,503_02
1000,50,533_01,504_02
1000,50,534_01,110_01
1000,50,534_01,129_01
1000,50,534_01,471_02
1000,50,534_01,499_01
1000,50,534_01,500_02
1000,50,534_01,501_02
1000,50,534_01,502_02
1000,50,534_01,503_02
1000,50,534_01,504_02
1000,51,102_01,519_01
1000,51,102_01,520_01
1000,51,103_01,519_01
1000,51,103_01,520_01
1000,51,131_02,523_01
1000,51,132_02,523_01
1000,51,472_01,524_01
1000,51,472_01,525_01
1000,51,472_01,526_01
1000,52,519_02,102_02
1000,52,519_02,103_02
1000,52,520_02,102_02
1000,52,520_02,103_02
1000,52,523_02,131_01
1000,52,523_02,132_01
1000,52,524_02,472_02
1000,52,525_02,472_02
1000,52,526_02,472_02
1000,52,532_01,113_02
1000,52,532_01,129_01
1000,52,532_01,137_01
1000,52,533_01,113_02
1000,52,533_01,129_01
1000,52,533_01,137_01
1000,52,534_01,113_02
1000,52,534_01,129_01
1000,52,534_01,137_01
1000,52,535_01,112_02
1000,52,536_01,105_02
1000,52,537_01,105_02
1000,54,519_02,102_02
1000,54,519_02,103_02
1000,54,520_02,102_02
1000,54,520_02,103_02
1000,55,105_01,536_02
1000,55,105_01,537_02
1000,55,109_01,532_02
1000,55,109_01,533_02
1000,55,109_01,534_02
1000,55,110_02,532_02
1000,55,110_02,533_02
1000,55,110_02,534_02
1000,55,111_01,532_02
1000,55,111_01,533_02
1000,55,111_01,534_02
1000,55,112_01,535_02
1000,55,113_01,532_02
1000,55,113_01,533_02
1000,55,113_01,534_02
1000,55,129_02,532_02
1000,55,129_02,533_02
1000,55,129_02,534_02
1000,55,471_01,532_02
1000,55,471_01,533_02
1000,55,471_01,534_02
1000,55,499_01,532_02
1000,55,499_01,533_02
1000,55,499_01,534_02
1000,55,500_01,532_02
1000,55,500_01,533_02
1000,55,500_01,534_02
1000,55,501_01,532_02
1000,55,501_01,533_02
1000,55,501_01,534_02
1000,55,502_01,532_02
1000,55,502_01,533_02
1000,55,502_01,534_02
1000,55,503_01,532_02
1000,55,503_01,533_02
1000,55,503_01,534_02
1000,55,504_01,532_02
1000,55,504_01,533_02
1000,55,504_01,534_02
1000,56,532_01,110_01
1000,56,532_01,129_01
1000,56,532_01,471_02
1000,56,532_01,499_01
1000,56,532_01,500_02
1000,56,532_01,501_02
1000,56,532_01,502_02
1000,56,532_01,503_02
1000,56,532_01,504_02
1000,56,533_01,110_01
1000,56,533_01,129_01
1000,56,533_01,471_02
1000,56,533_01,499_01
1000,56,533_01,500_02
1000,56,533_01,501_02
1000,56,533_01,502_02
1000,56,533_01,503_02
1000,56,533_01,504_02
1000,56,534_01,110_01
1000,56,534_01,129_01
1000,56,534_01,471_02
1000,56,534_01,499_01
1000,56,534_01,500_02
1000,56,534_01,501_02
1000,56,534_01,502_02
1000,56,534_01,503_02
1000,56,534_01,504_02
1000,59,647_01,660_01
1000,59,647_01,661_01
1000,59,647_01,662_01
1000,59,648_01,660_01
1000,59,648_01,661_01
1000,59,648_01,662_01
1000,60,660_02,647_02
1000,60,660_02,648_02
1000,60,661_02,647_02
1000,60,661_02,648_02
1000,60,662_01,647_02
1000,60,662_01,648_02
1000,90,1_01,44_01
1000,90,17_01,56_01
1000,90,17_01,57_01
1000,90,17_01,58_01
1000,90,19_01,59_01
1000,90,19_01,60_01
1000,90,19_01,61_01
1000,90,2_01,44_01
1000,90,3_01,44_01
1000,90,4_01,44_01
1000,90,5_01,44_01
1000,90,6_01,44_01
1000,90,7_01,44_01
1000,91,44_02,1_02
1000,91,44_02,2_02
1000,91,44_02,3_02
1000,91,44_02,4_02
1000,91,44_02,5_02
1000,91,44_02,6_02
1000,91,44_02,7_02
1000,91,56_02,17_02
1000,91,57_02,17_02
1000,91,58_02,17_02
1000,91,59_02,19_02
1000,91,60_02,19_02
1000,91,61_02,19_02
1010,11,200_01,287_01
1010,11,200_01,288_01
1010,11,201_01,287_01
1010,11,201_01,288_01
1010,11,241_01,287_01
1010,11,241_01,288_01
1010,11,242_01,287_01
1010,11,242_01,288_01
1010,12,287_02,200_01
1010,12,287_02,201_01
1010,12,287_02,241_02
1010,12,287_02,242_02
1010,12,288_02,200_01
1010,12,288_02,201_01
1010,12,288_02,241_02
1010,12,288_02,242_02
1010,13,203_02,336_01
1010,13,203_02,337_01
1010,13,204_02,336_01
1010,13,204_02,337_01
1010,14,336_02,203_01
1010,14,336_02,204_01
1010,14,337_01,203_01
1010,14,337_01,204_01
1010,23,360_01,376_01
1010,23,371_01,1_01
1010,23,371_01,118_02
