service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
全日,1,1,1,1,1,1,1,20220125,20230124
全日（夏）,1,1,1,1,1,1,1,20220125,20230124
全日（冬）,1,1,1,1,1,1,1,20220125,20230124
平日,1,1,1,1,1,0,0,20220125,20230124
平日（夏）,1,1,1,1,1,0,0,20220125,20230124
平日（冬）,1,1,1,1,1,0,0,20220125,20230124
土日祝のみ,0,0,0,0,0,1,1,20220125,20230124
土日祝のみ（夏）,0,0,0,0,0,1,1,20220125,20230124
土日祝のみ（冬）,0,0,0,0,0,1,1,20220125,20230124
正月運行,1,1,1,1,1,1,1,20220125,20230124
10～4月運行,1,1,1,1,1,0,0,20220125,20230124
5～9月運行,1,1,1,1,1,0,0,20220125,20230124
4～11月,1,1,1,1,1,0,0,20220125,20230124
12～3月,1,1,1,1,1,0,0,20220125,20230124
平日土,1,1,1,1,1,1,0,20220125,20230124
日祝のみ,0,0,0,0,0,0,1,20220125,20230124
休校日（平日）,1,1,1,1,1,0,0,20220125,20230124
休校日（夏）,1,1,1,1,1,0,0,20220125,20230124
休校日（冬）,1,1,1,1,1,0,0,20220125,20230124
休校日（平日土）,1,1,1,1,1,1,0,20220125,20230124
