trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
17休校日（平日）_06時57分_系統400107,06:57:00,06:57:00,129_01,1,三高正門前,0,1
17休校日（平日）_06時57分_系統400107,06:58:00,06:58:00,113_02,2,三高正門前,0,0
17休校日（平日）_06時57分_系統400107,07:00:00,07:00:00,112_02,3,三高正門前,0,0
17休校日（平日）_06時57分_系統400107,07:02:00,07:02:00,105_02,4,三高正門前,0,0
17休校日（平日）_06時57分_系統400107,07:04:00,07:05:00,104_02,5,三高正門前,0,0
17休校日（平日）_06時57分_系統400107,07:20:00,07:20:00,93_02,6,三高正門前,0,0
17休校日（平日）_06時57分_系統400107,07:26:00,07:26:00,88_02,7,三高正門前,0,0
17休校日（平日）_06時57分_系統400107,07:37:00,07:37:00,117_01,8,三高正門前,1,0
17休校日（平日）_07時15分_系統39108,07:15:00,07:15:00,5_02,1,三沢高校前,0,1
17休校日（平日）_07時15分_系統39108,07:16:00,07:16:00,4_02,2,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:17:00,07:17:00,3_02,3,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:18:00,07:18:00,2_02,4,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:19:00,07:19:00,1_02,5,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:22:00,07:22:00,87_01,6,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:23:00,07:23:00,88_01,7,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:24:00,07:24:00,89_01,8,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:25:00,07:25:00,90_01,9,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:27:00,07:27:00,91_01,10,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:28:00,07:28:00,92_01,11,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:29:00,07:29:00,93_01,12,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:31:00,07:31:00,94_01,13,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:42:00,07:42:00,121_01,14,三沢高校前,0,0
17休校日（平日）_07時15分_系統39108,07:48:00,07:48:00,116_01,15,三沢高校前,1,0
17休校日（平日）_07時57分_系統400103,07:57:00,07:57:00,111_02,1,工業高校,0,1
