stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1_01,,元町東,,40.622204,141.210719,1_01,,0,
1_02,,元町東,,40.622164,141.210408,1_02,,0,
10_01,,稲吉,,40.614,141.238089,10_01,,0,
10_02,,稲吉,,40.613927,141.238208,10_02,,0,
100_01,,大曲小学校前,,40.643341,141.336999,100_01,,0,
100_02,,大曲小学校前,,40.643219,141.336852,100_02,,0,
101_01,,大曲試験場,,40.649677,141.342984,101_01,,0,
101_02,,大曲試験場,,40.649618,141.34308,101_02,,0,
102_01,,晴ヶ丘,,40.660424,141.345661,102_01,,0,
102_02,,晴ヶ丘,,40.660572,141.345948,102_02,,0,
103_01,,春日台,,40.663408,141.349726,103_01,,0,
103_02,,春日台,,40.663072,141.349071,103_02,,0,
104_01,,三沢駅,,40.668709,141.353882,104_01,,0,
104_02,,三沢駅,,40.668567,141.353941,104_02,,0,
105_01,,新町（三沢）,,40.6742671,141.3541992,105_01,,0,
105_02,,新町（三沢）,,40.673996,141.353226,105_02,,0,
106_01,,大町二丁目,,40.678991,141.360796,106_01,,0,
107_01,,中央三丁目,,40.680196,141.361685,107_01,,0,
108_01,,大通,,40.682733,141.363786,108_01,,0,
109_01,,アメリカ広場,,40.684698,141.365464,109_01,,0,
11_01,,観音寺前,,40.613961,141.242372,11_01,,0,
11_02,,観音寺前,,40.613858,141.242195,11_02,,0,
110_01,,三沢中央,,40.684858,141.36661,110_01,,0,
111_01,,市役所・公会堂前,,40.683351,141.369574,111_01,,0,
111_02,,市役所・公会堂前,,40.683089,141.369688,111_02,,0,
112_01,,中央四丁目,,40.678398,141.361536,112_01,,0,
112_02,,中央四丁目,,40.678259,141.360815,112_02,,0,
113_01,,上下水道庁舎前,,40.680049,141.365147,113_01,,0,
113_02,,上下水道庁舎前,,40.681235,141.366373,113_02,,0,
114_01,,桜町,,40.680683,141.370249,114_01,,0,
115_01,,高校通（三沢）,,40.679103,141.369013,115_01,,0,
116_01,,三沢高校前,,40.678081,141.370907,116_01,,0,
117_01,,三高正門前,,40.603577,141.22054,117_01,,0,
118_01,,三高前,,40.605519,141.220655,118_01,,0,
118_02,,三高前,,40.604266,141.221777,118_02,,0,
119_01,,南小学校通,,40.60706,141.219447,119_01,,0,
119_02,,南小学校通,,40.606925,141.219744,119_02,,0,
12_02,,三本木営業所,,40.613754,141.248578,12_02,,0,
12_03,,三本木営業所,,40.614504,141.249073,12_03,,0,
120_01,,並木,,40.60824,141.218531,120_01,,0,
120_02,,並木,,40.608105,141.218821,120_02,,0,
121_01,,三沢商業高校入口,,40.6688208,141.3487887,121_01,,0,
122_01,,六戸高校前,,40.61771,141.328183,122_01,,0,
123_01,,吾郷,,40.60069,141.207263,123_01,,0,
124_01,,東吾郷,,40.602412,141.21041,124_01,,0,
125_01,,南小学校前,,40.603359,141.212646,125_01,,0,
126_01,,西並木,,40.604566,141.215295,126_01,,0,
127_01,,三高通,,40.606504,141.218221,127_01,,0,
128_01,,西穂並,,40.608923,141.216337,128_01,,0,
129_01,,市役所前（三沢）,,40.682913,141.367855,129_01,,0,
130_01,,三農校前（校舎前）,,40.639444,141.266345,130_01,,0,
131_01,,農協前（三沢）,,40.691273,141.397891,131_01,,0,
132_01,,西浜三沢,,40.691669,141.394401,132_01,,0,
133_01,,三沢空港通,,40.692013,141.388452,133_01,,0,
134_01,,岡三沢市営住宅前,,40.691337,141.383014,134_01,,0,
135_01,,岡三沢,,40.690272,141.377962,135_01,,0,
136_01,,岡三沢小学校前,,40.688892,141.373263,136_01,,0,
137_01,,三沢郵便局前,,40.68539,141.37085,137_01,,0,
138_01,,馬門温泉,,40.87611,141.063802,138_01,,0,
139_01,,スキー場前,,40.875808,141.070527,139_01,,0,
139_02,,スキー場前,,40.875614,141.070917,139_02,,0,
140_01,,馬門温泉通,,40.877124,141.088017,140_01,,0,
140_02,,馬門温泉通,,40.877053,141.088097,140_02,,0,
141_01,,馬門温泉入口,,40.879085,141.090298,141_01,,0,
141_02,,馬門温泉入口,,40.878154,141.091134,141_02,,0,
142_01,,柴崎,,40.879903,141.09011,142_01,,0,
142_02,,柴崎,,40.879772,141.090235,142_02,,0,
143_01,,馬門温泉口,,40.878703,141.092381,143_01,,0,
143_02,,馬門温泉口,,40.878647,141.092362,143_02,,0,
144_01,,馬門小学校前,,40.875444,141.096809,144_01,,0,
144_02,,馬門小学校前,,40.875308,141.096844,144_02,,0,
145_01,,農協前（野辺地）,,40.873991,141.098561,145_01,,0,
145_02,,農協前（野辺地）,,40.873941,141.098529,145_02,,0,
146_01,,馬門,,40.872366,141.102639,146_01,,0,
146_02,,馬門,,40.872359,141.102327,146_02,,0,
147_01,,港湾前,,40.871286,141.108959,147_01,,0,
147_02,,港湾前,,40.871224,141.108954,147_02,,0,
148_01,,野辺地案内所,,40.870338,141.111506,148_01,,0,
149_01,,馬門道,,40.869425,141.11486,149_01,,0,
149_02,,馬門道,,40.869227,141.116083,149_02,,0,
150_01,,裁判所前,,40.868728,141.120007,150_01,,0,
150_02,,裁判所前,,40.868592,141.120547,150_02,,0,
151_01,,新町（野辺地）,,40.867246,141.124609,151_01,,0,
151_02,,新町（野辺地）,,40.867118,141.124898,151_02,,0,
152_01,,新町通,,40.86687,141.12705,152_01,,0,
152_02,,新町通,,40.866802,141.127054,152_02,,0,
